,Name,Certificates
367,3:45 (2013),:Unrated
368,3D 101 with Director Marc Webb (2012),:Approved
369,3rd Street Blackout (2015),:Unrated
370,4 (2007),:G
371,4 Artists Paint 1 Tree: A Walt Disney 'Adventure in Art' (1958),:Unrated
372,4 Clowns (1970),:G
373,4 Devils (1928),:Passed(National Board of Review)
374,4 Faces (2011),:Approved
375,4 for Texas (1963),:Approved(MPAA rating: certificate #20571)
376,4 mosche di velluto grigio (1971),:PG
377,40 Carats (1973),:PG
378,40 Days and 40 Nights (2002),:R(certificate #38351)
379,40 Guns to Apache Pass (1966),:Approved(MPAA rating: certificate #21321)
380,40 Point Plan (2012),:PG
381,40 Point Plan (2012),:PG
382,40 Weeks (2014),:PG-13
383,40 gradi all'ombra del lenzuolo (1976),:R
384,"40,000 Horsemen (1940)",:Approved
385,"40,000 Horsemen (1940)",:Passed(National Board of Review)
386,"40,000 Miles with Lindbergh (1928)",:Passed(National Board of Review)
387,407 (2007),:Unrated
388,407 Dark Flight 3D (2012),:R
389,411 (2015/II),:PG-13certificate #50158)
390,42 (2013),:PG-13(certificate #48134)
391,42nd Street (1933),:Unrated
392,42nd Street (1933),:Approved(PCA #2718-R: 26 September 1936 for re-release)
393,43: The Richard Petty Story (1972),:G
394,44 Inch Chest (2009),:R
395,45 Calibre Echo (1932),:Passed(National Board of Review)
396,45 Calibre War (1929),:Passed(National Board of Review)
397,45 Years (2015),:R
398,46-okunen no koi (2006),:Unrated(DVD rating)
399,47 Meters Down (2017),:PG-13(certificate #50913)
400,47 Ronin (2013),:PG-13(certificate #48511)
401,476 A.D. Chapter One: The Last Light of Aries (2014),:PG(self applied)
402,48 Angels (2007),:PG-13
403,48 Hrs. (1982),:R(Certificate #26865)
404,4: Rise of the Silver Surfer (2007),:PG(Approved No. 43383)
405,4:44 Last Day on Earth (2011),:R
406,4:48 (2014),:R
407,4D Man (1959),:Unrated
408,5 (2007/I),:Unrated
409,5 (2007/III),:Unrated
410,5 (2010),:Unrated
411,5 Bravo (2013),:R
412,5 Card Stud (1968),:PG(certificate #21845)
413,5 Dark Souls (1996),:Unrated
414,5 Days of War (2011),:R(certificate #46430)
415,5 Dead on the Crimson Canvas (1996),:Unrated
416,5 Films About Technology (2016),:R(certificate #51083)
417,5 Fingers (1952),:Approved(certificate #15489)
418,5 Flights Up (2014),:PG-13
419,5 Steps to Danger (1957),:Approved
420,5 Steps to Danger (1957),:Passed(National Board of Review)
421,5 huajai hero (2009),:R(certificate #46103)
422,5 to 7 (2014),:R
423,5 tombe per un medium (1965),:Unrated
424,50 First Dates (2004),:PG-13(re-rating on appeal) (certificate #40115)
425,50 First Dates (2004),:R(original rating) (2003)
426,50 Million Frenchmen (1931),:Passed(National Board of Review)
427,50 Ways to Leave Your Lover (2004),:R
428,50 Ways to Lick Your Lover (1989),:X
429,50 to 1 (2014),:PG-13
430,50/50 (2011),:R(certificate #46558)
431,51 (2011),:R(certificate #46552)
432,51 Birch Street (2005),:Unrated
433,52 Pick-Up (1986),:R(certificate #28294)
434,54 (1998),:R(certificate #36070)
435,54 (1998),:R(certificate #36743) (edited version)
436,55 Days at Peking (1963),:Unrated
437,58: The Film (2011),:PG-13
438,5th Ave Girl (1939),:Approved(PCA #5417)
439,5up 2down (2006),:R(certificate #46724)
440,5x2 (2004),:R
441,6 Below: Miracle on the Mountain (2017),:PG-13(certificate #51131)
442,6 Bullets (2012),:R(certificate #47610)
443,6 Cylinder Love (1931),:Approved(certificate #3633-R 1937 Re-Release)
444,6 Day Bike Rider (1934),:Approved(PCA #289)
445,6 Days (2017/I),:R(certificate #51114)
446,6 Desires: DH Lawrence and Sardinia (2014),:G
447,6 Month Rule (2011),:R
448,6 Plots (2012),:R(certificate #50514)
449,6 Souls (2010),:R(certificate #45350)
450,6 Women (2010),:PG-13
451,"6,000 Enemies (1939)",:Passed(National Board of Review)
452,"6,000 Enemies (1939)",:Approved(PCA #5310)
453,6-5=2 (2014),:Unrated
454,600 Millas (2015),:R(certificate #50162)
455,600 kilos d'or pur (2010),:G
456,633 Squadron (1964),:Approved
457,666: The Child (2006),:Unrated
458,68 Kill (2017),:R(certificate #51289)
459,69 Minutes (1976),:R
460,69 Minutes (1977),:X(self-applied)
461,6:30 A.M (2009),:Passed(DVD rating)
462,7 (2008),:Unrated
463,7 Assassins (2013),:R
464,7 Below (2012),:R
465,7 Colombian Kilos (2007),:R
466,7 Infirmières Gourmandes (2010),:X(self-applied)
467,7 Into Snowy (1978),:X
468,7 Men from Now (1956),:Approved(PCA #17817)
469,7 Stages of the Closet (2013),:Unrated
470,7 Women from Hell (1961),:Approved
471,7 días (2005),:PG-13
472,7 uomini d'oro (1965),:G
473,7 uomini e un cervello (1968),:GP(certificate #23038)
474,7 winchester per un massacro (1967),:Approved(Suggested for Mature Audiences)
475,7 winchester per un massacro (1967),:R(certificate #21693)
476,711 Ocean Drive (1950),:Approved(PCA #14447)
477,74 Metros Cuadrados (2011),:PG
478,7eventy 5ive (2007),:R(certificate #43740)
479,7th Cavalry (1956),:Approved(MPAA rating: certificate #17766)
480,7th Cavalry (1956),:Passed(National Board of Review)
481,8 Days (2014),:PG-13(#49371)
482,8 Guys (2003),:PG-13
